INDEX,area_2000,area_r,area_frac,coast_length,coast_r,coast_area_f,dryland_loss,max_dryland_loss,DEM,land_value,wetland_loss_SLR,wetland_loss_coastalsqueeze,exposed_wetland,W_1990,coast_protection_cost
DJI,23180,17285931,0.00134097492347968,314,21760,0.0222379937966452,3.77534659215647,23167.238106228,0.799,1395419,0.830414026253782,0.0102881042502803,2.76189377202379,7.04055947340128,1.87466287705719
GNQ,28051,17285931,0.00162276477905645,296,21760,0.0196272375118723,4.03232304242583,28038.050112453,0.799,1395419,0.886937803213472,0.0109883844618324,2.94988754696097,7.51978911158703,1.65457612225083
ETH,1000000,17285931,0.0578505143865262,0,21760,0,0,999990,0.799,1395419,0,0,0,0,0
GAB,257667,17285931,0.0149061684904331,885,21760,0.0111977232909542,21.1317918309611,257641.540819545,0.799,1395419,4.64808618439499,0.0575857267790524,15.4591804553493,39.4082062490677,0.943968073427439
GMB,10000,17285931,0.000578505143865262,80,21760,0.0170896233070928,1.25164244258789,9989.08434805054,0.799,1395419,0.27530755516299,0.00341082007150614,0.915651949457057,2.33416001454841,1.44065524478793
GHA,227533,17285931,0.0131629010899095,539,21760,0.00929950179576093,15.4971510829411,227511.66289915,0.799,1395419,3.4087073364296,0.0422309057014477,11.3371008502927,28.9002906632234,0.783948001382647
GIN,245717,17285931,0.0142148548435141,320,21760,0.00689516849779396,12.408745553261,245697.922254096,0.799,1395419,2.72939082654033,0.0338147676646107,9.07774590374855,23.1407922227705,0.581262704364031
GNB,28120,17285931,0.00162675646454912,350,21760,0.0213163999700515,4.39012583103091,28106.7883581295,0.799,1395419,0.965639042169301,0.0119634240510076,3.21164187052803,8.18704753447106,1.79697251747534
KEN,569140,17285931,0.0329250417579475,536,21760,0.00586354600032347,24.4414652238374,569112.119593809,0.799,1395419,5.37607211646103,0.0666048364340523,17.8804061913409,45.5803421818296,0.494296927827269
LSO,30355,17285931,0.001756052364203,0,21760,0,0,30345,0.799,1395419,0,0,0,0,0
LBR,96320,17285931,0.00557216154571021,579,21760,0.0148138704187302,10.4503974234006,96302.3549038865,0.799,1395419,2.29863838682987,0.0284781212861818,7.64509611351393,19.4887125682689,1.24880927629895
MDG,581540,17285931,0.0336423881363405,4828,21760,0.0174093008815867,74.1495832929042,581475.755106903,0.799,1395419,16.3097221683504,0.202063207817032,54.2448930967829,138.279900496081,1.46760406431776
MWI,94080,17285931,0.00544257639348439,0,21760,0,0,94070,0.799,1395419,0,0,0,0,0
MLI,1220190,17285931,0.0705886191492955,0,21760,0,0,1220180,0.799,1395419,0,0,0,0,0
MRT,1025520,17285931,0.0593268595136704,754,21760,0.00518085099916883,38.9128489418796,1025481.53290366,0.799,1395419,8.55915470912403,0.106040448689187,28.4670963369462,72.5677022141411,0.436745739229932
MOZ,786380,17285931,0.0454924875032765,2470,21760,0.0107082806111309,61.6736986430887,786324.881969106,0.799,1395419,13.5655636254885,0.168065481049791,45.1180308938796,115.013902072834,0.902708055518336
NAM,823290,17285931,0.0476277499892832,1572,21760,0.00834905548444539,50.3428709645475,823243.171153061,0.799,1395419,11.0732684140042,0.137188120904637,36.8288469386226,93.8832948010759,0.703825377338746
NER,1266700,17285931,0.0732792465734128,0,21760,0,0,1266690,0.799,1395419,0,0,0,0,0
NGA,910768,17285931,0.0526883972867877,853,21760,0.00584733708382845,39.0044075024018,910729.465923053,0.799,1395419,8.57929365823117,0.10628995267317,28.5340769470462,72.7384477271477,0.492930516166739
RWA,24668,17285931,0.00142705648888683,0,21760,0,0,24658,0.799,1395419,0,0,0,0,0
SEN,192530,17285931,0.0111379595348379,531,21760,0.0100342646604557,14.1491957152187,192509.649009814,0.799,1395419,3.11221507623651,0.0385576256437532,10.3509901862246,26.386518827372,0.845888510876413
SLE,71620,17285931,0.00414325384036301,402,21760,0.0143147367181365,7.50871244493625,71604.5069238992,0.799,1395419,1.6515940937279,0.0204618078190156,5.49307610079352,14.0028300042898,1.20673230533891
ZAF,1214470,17285931,0.0702577142070045,2798,21760,0.00917102666067458,81.5741465267287,1214400.32359103,0.799,1395419,17.9428070514669,0.22229570268812,59.6764089735236,152.125802517466,0.773117547494867
SDN,2505813,17285931,0.144962571006444,853,21760,0.00352523183252804,64.696998454707,2505755.67024292,0.799,1395419,14.2305596749516,0.176304201093774,47.3297570802957,120.651986314913,0.297177043482114
SWZ,17204,17285931,0.000995260249505798,0,21760,0,0,17194,0.799,1395419,0,0,0,0,0
TZA,885800,17285931,0.0512439856435849,1424,21760,0.00766080932802356,49.7001981888992,885753.641306965,0.799,1395419,10.9319080185643,0.135436789112101,36.3586930353492,92.684788706751,0.645806226352386
TGO,54385,17285931,0.00314620022491123,56,21760,0.00613115003135345,2.44213050157448,54373.2134342217,0.799,1395419,0.53716377369508,0.00665498983462501,1.7865657782999,4.55427458603774,0.516855947643096
UGA,197100,17285931,0.0114023363855843,0,21760,0,0,197090,0.799,1395419,0,0,0,0,0
ZMB,743398,17285931,0.0430059566939148,0,21760,0,0,743388,0.799,1395419,0,0,0,0,0
ZWE,386847,17285931,0.0223792979388845,0,21760,0,0,386837,0.799,1395419,0,0,0,0,0
USA,9161966,9161966,1,19924,19924,0.0070845412521959,141.690825043918,9161736.03207866,0.583,1373498,80.7637702750333,5.58970304798257,219.967921339431,303.422400382048,0.675156781334269
AUT,82445,3675021,0.0224338854118113,0,92470.31,0,0,82435,0.273,1004586,0,0,0,0,0
BEL,30278,3675021,0.00823886448540022,66.5,92470.31,0.000971571639920764,0.033715573497444,30267.7022111194,0.273,1004586,0.0256949171241204,0.0072281963124862,0.297788880639105,0.760447796191889,0.149524875383806
CYP,9241,3675021,0.00251454345430951,648,92470.31,0.00548978854649635,0.0581437615338317,9230.48645199037,0.273,1004586,0.0443118410549857,0.0124652936051876,0.51354800963476,1.31142053164426,0.844878457305789
DNK,42434,3675021,0.0115466006860913,7314,92470.31,0.00860692643437007,0.418591688135454,42420.3028376111,0.273,1004586,0.319012183977874,0.0897408106330282,3.69716238889248,9.44124906464903,1.32460597824955
FIN,303815,3675021,0.0826702758977432,1250,92470.31,0.00132977449645172,0.463037056808514,303800.910279063,0.273,1004586,0.352884366656062,0.0992693405266117,4.0897209371772,10.4437051747587,0.204652295003919
FRA,640427,3675021,0.174264854540967,4853,92470.31,0.00180467053663893,1.3246346117421,640405.300318892,0.273,1004586,1.00951498188323,0.283985055651263,11.6996811077943,29.8768600609789,0.277738795588731
DEU,348672,3675021,0.0948761925442059,2389,92470.31,0.00171603893550239,0.685760944809427,348655.943096232,0.273,1004586,0.522624081870432,0.147018550133645,6.05690376752144,15.4671964643974,0.264098392173817
GRC,130647,3675021,0.0355500009387701,13676,92470.31,0.00670744969529572,1.00435073856654,130628.129188942,0.273,1004586,0.765423995916097,0.215320208196958,8.87081105796594,22.652923457005,1.03227650810601
ISL,100250,3675021,0.0272787556860219,4970,92470.31,0.0046159766439383,0.530367033503449,100235.315594876,0.273,1004586,0.404197098182828,0.113704043507506,4.68440512355065,11.9623188919241,0.710398805502105
IRL,68883,3675021,0.0187435663632943,1448,92470.31,0.00300577074559746,0.237299292821724,68870.9040816022,0.273,1004586,0.180847751651884,0.0508739936889878,2.09591839780479,5.35223653478279,0.462588117747449
ITA,294140,3675021,0.0800376378801645,7600,92470.31,0.0033324017285767,1.12341437461071,294120.077573228,0.273,1004586,0.85616337666201,0.24084595922922,9.92242677214333,25.3383791750649,0.512856626027954
LUX,2586,3675021,0.000703669448419478,0,92470.31,0,0,2576,0.273,1004586,0,0,0,0,0
MLT,316,3675021,8.59859032098048e-05,252.81,92470.31,0.0185430505392779,0.00671578527670307,305.94068360782,0.273,1004586,0.00511815544592043,0.00143978017684304,0.0593163921804149,0.151473149752412,2.85377547799487
NLD,33893,3675021,0.00922253233382884,451,92470.31,0.00239144757137164,0.0928965131474715,33882.1795023547,0.273,1004586,0.0707972001907369,0.0199158479041232,0.820497645325792,2.095261666015,0.368043781234096
NOR,304282,3675021,0.0827973500015374,25148,92470.31,0.00595993047765739,2.07848068631932,304253.642061137,0.273,1004586,1.58402730367641,0.445600204118316,18.357938863355,46.879702564121,0.917233300511472
PRT,91470,3675021,0.0248896536917748,1793,92470.31,0.00290254127475522,0.304288557015765,91457.3124067193,0.273,1004586,0.231900823366716,0.0652356521807303,2.68759328065064,6.86316555186556,0.446701102184829
ESP,498980,3675021,0.1357760948849,4964,92470.31,0.00206776850461326,1.18253387965817,498959.555407077,0.273,1004586,0.901218839910431,0.253520440012187,10.4445929228498,26.6718074001167,0.31822957285998
SWE,410335,3675021,0.111655144283529,3218,92470.31,0.00183590979015468,0.863412709817448,410317.374007685,0.273,1004586,0.658013959761161,0.185104861577672,7.62599231496408,19.4740953297005,0.282546516704806
CHE,39997,3675021,0.010883475223679,0,92470.31,0,0,39987,0.273,1004586,0,0,0,0,0
GBR,241930,3675021,0.065830916340342,12429,92470.31,0.00469895006930137,1.30292402764521,241908.492075101,0.273,1004586,0.99296916636779,0.279330578576359,11.5079248994438,29.3871823210534,0.723168415665481
